,Month,Day,MSFT,AAPL,TotalCorrelation,MonthlyCorrelation
0,2021-04,23,261.1499938964844,134.32000732421875,0.7194171294845936,0.9735831060997671
32,2021-03,31,235.77000427246094,122.1500015258789,0.7194171294845936,0.6187600175287353
78,2021-02,26,232.3800048828125,121.26000213623047,0.7194171294845936,0.8387115418746334
116,2021-01,29,231.42698669433594,131.7631072998047,0.7194171294845936,0.8258623081589445
154,2020-12,31,221.90890502929688,132.4920196533203,0.7194171294845936,0.9103159813487367
198,2020-11,30,213.57809448242188,118.87236785888672,0.7194171294845936,0.723320810027773
238,2020-10,30,201.47727966308594,108.51036071777344,0.7194171294845936,0.901825147370408
282,2020-09,30,209.29872131347656,115.43804168701172,0.7194171294845936,0.9677721673227082
324,2020-08,31,224.4241943359375,128.62554931640625,0.7194171294845936,0.6978478354324302
366,2020-07,31,203.51284790039062,105.72808837890625,0.7194171294845936,0.18111334472772533
410,2020-06,30,202.02381896972656,90.74346923828125,0.7194171294845936,0.9717633030867208
454,2020-05,29,181.91177368164062,79.08712005615234,0.7194171294845936,0.7308196978239105
494,2020-04,30,177.40719604492188,72.88502502441406,0.7194171294845936,0.9644723344463779
536,2020-03,31,156.12347412109375,63.08350372314453,0.7194171294845936,0.9086619038215411
580,2020-02,28,160.38018798828125,67.8143310546875,0.7194171294845936,0.962035662210948
618,2020-01,31,168.0584716796875,76.60051727294922,0.7194171294845936,0.8321682736775897
660,2019-12,31,155.68832397460938,72.67533874511719,0.7194171294845936,0.958599778785143
702,2019-11,29,149.44894409179688,66.1416015625,0.7194171294845936,0.8871991709639149
742,2019-10,31,141.0611114501953,61.38124084472656,0.7194171294845936,0.7431651014913965
788,2019-09,30,136.79100036621094,55.264339447021484,0.7194171294845936,0.18038046942386865
828,2019-08,30,135.63987731933594,51.50635528564453,0.7194171294845936,0.7882502327115257
872,2019-07,31,133.6304931640625,52.3683967590332,0.7194171294845936,0.5324856526444619
916,2019-06,28,131.365234375,48.65167999267578,0.7194171294845936,0.9683415894349965
956,2019-05,31,121.28435516357422,43.03481674194336,0.7194171294845936,0.30216645958950794
1000,2019-04,30,127.59800720214844,49.1384391784668,0.7194171294845936,0.6916756115125144
1042,2019-03,29,115.22899627685547,46.5134162902832,0.7194171294845936,0.9756477894809577
1084,2019-02,28,109.45484924316406,42.39957046508789,0.7194171294845936,0.8019742808509496
1122,2019-01,31,101.59565734863281,40.582427978515625,0.7194171294845936,0.6086464773082694
1164,2018-12,31,98.81327819824219,38.46113967895508,0.7194171294845936,0.9536060539703426
1202,2018-11,30,107.88032531738281,43.54248046875,0.7194171294845936,0.28248738938051554
1244,2018-10,31,103.46408081054688,53.17824935913086,0.7194171294845936,0.9348312911469496
1290,2018-09,28,110.78726196289062,54.849937438964844,0.7194171294845936,-0.09286218420175885
1328,2018-08,31,108.81117248535156,55.309165954589844,0.7194171294845936,0.6670609226166422
1374,2018-07,31,102.363037109375,46.07476043701172,0.7194171294845936,0.8972359527545768
1416,2018-06,29,95.15477752685547,44.82053756713867,0.7194171294845936,0.7621564787339161
1458,2018-05,31,95.37671661376953,45.24667739868164,0.7194171294845936,0.7863216507480038
1502,2018-04,30,89.85365295410156,39.860565185546875,0.7194171294845936,0.191836894439674
1544,2018-03,29,87.69187927246094,40.46839141845703,0.7194171294845936,0.9345361615687859
1586,2018-02,28,90.0938720703125,42.962379455566406,0.7194171294845936,0.891347693379863
1624,2018-01,31,90.85844421386719,40.21998977661133,0.7194171294845936,-0.39633656787413973
1666,2017-12,29,81.80226135253906,40.652374267578125,0.7194171294845936,0.6498425928979676
1706,2017-11,30,80.49211883544922,41.28175735473633,0.7194171294845936,0.46937087957825385
1748,2017-10,31,79.14788055419922,40.46128463745117,0.7194171294845936,0.8693074998640302
1792,2017-09,29,70.87913513183594,36.89004135131836,0.7194171294845936,0.2654863355866799
1832,2017-08,31,71.14556884765625,39.25491714477539,0.7194171294845936,0.735232954291392
1878,2017-07,31,68.80928802490234,35.46064376831055,0.7194171294845936,0.963939282747851
1918,2017-06,30,65.24104309082031,34.337669372558594,0.7194171294845936,0.8269980453247177
1962,2017-05,31,66.10233306884766,36.42148971557617,0.7194171294845936,0.05122548916000391
2006,2017-04,28,64.42691040039062,34.108673095703125,0.7194171294845936,0.5739465806395749
2044,2017-03,31,61.98008346557617,34.11104202270508,0.7194171294845936,0.7986853486258669
2090,2017-02,28,60.21083450317383,32.52730178833008,0.7194171294845936,0.8821424277533967
2128,2017-01,31,60.4747314453125,28.689308166503906,0.7194171294845936,0.7226110416526641
2168,2016-12,30,58.12683868408203,27.38191795349121,0.7194171294845936,0.9477003530066961
2210,2016-11,30,56.368255615234375,26.128902435302734,0.7194171294845936,0.8299036787273559
2252,2016-10,31,55.674102783203125,26.705768585205078,0.7194171294845936,0.03125658198144898
2294,2016-09,30,53.51850128173828,26.590518951416016,0.7194171294845936,0.26345672369853856
2336,2016-08,31,53.388423919677734,24.955808639526367,0.7194171294845936,0.6260566543038717
2382,2016-07,29,52.33747863769531,24.379188537597656,0.7194171294845936,0.6661986259320918
2422,2016-06,30,47.249629974365234,22.364946365356445,0.7194171294845936,0.7316411853994316
2466,2016-05,31,48.93942642211914,23.361541748046875,0.7194171294845936,0.6797327991593969
2508,2016-04,29,45.72937774658203,21.797100067138672,0.7194171294845936,0.9426317971384106
